raw_city,canonical_city
Berlin,Berlin
BERLIN,Berlin
Bielefeld,Bielefeld
BIELEFELD,Bielefeld
Bochum,Bochum
BOCHUM,Bochum
Bochum-Harpen,Bochum
Bonn,Bonn
BONN,Bonn
Bonn-Dottendorf,Bonn
Bonn-Duisdorf,Bonn
Bremen,Bremen
BREMEN,Bremen
Dortmund,Dortmund
DORTMUND,Dortmund
Dortmund Wellinghofen,Dortmund
Dresden,Dresden
DRESDEN,Dresden
Duesseldorf,Düsseldorf
DUESSELDORF,Düsseldorf
Duisburg,Duisburg
DUISBURG,Duisburg
Düsseldorf,Düsseldorf
Essen,Essen
ESSEN,Essen
Frankfurt,Frankfurt am Main
FRANKFURT,Frankfurt am Main
Frankfurt a. Main,Frankfurt am Main
Frankfurt am Main,Frankfurt am Main
Frankfurt Am Main,Frankfurt am Main
Hamburg,Hamburg
HAMBURG,Hamburg
Hannover,Hannover
HANNOVER,Hannover
Hannover-Linden,Hannover
Koeln,Köln
KOELN,Köln
Köln,Köln
Leipzig,Leipzig
LEIPZIG,Leipzig
Ludwigshafen,Ludwigshafen am Rhein
LUDWIGSHAFEN,Ludwigshafen am Rhein
Ludwigshafen Am Rhein,Ludwigshafen am Rhein
Mannheim,Mannheim
MANNHEIM,Mannheim
Muenchen,München
MUENCHEN,München
Mülheim,Mülheim
München,München
Nuernberg,Nürnberg
NUERNBERG,Nürnberg
Nürnberg,Nürnberg
Nürnberg-Schweinau,Nürnberg
Offenbach,Offenbach
Stuttgart,Stuttgart
STUTTGART,Stuttgart
Stuttgart-Ost,Stuttgart
Troisdorf-Bergheim,Troisdorf-Bergheim
Wuppertal,Wuppertal
WUPPERTAL,Wuppertal
Wuppertal-Elberfeld,Wuppertal
